step,timestamp,appliance,state,reason
2861,1900-01-01 07:56:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2862,1900-01-01 07:57:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2863,1900-01-01 07:57:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2864,1900-01-01 07:57:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2865,1900-01-01 07:57:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2866,1900-01-01 07:57:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2867,1900-01-01 07:57:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2868,1900-01-01 07:58:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2869,1900-01-01 07:58:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2870,1900-01-01 07:58:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2871,1900-01-01 07:58:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2872,1900-01-01 07:58:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2873,1900-01-01 07:58:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2874,1900-01-01 07:59:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2875,1900-01-01 07:59:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2876,1900-01-01 07:59:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2877,1900-01-01 07:59:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2878,1900-01-01 07:59:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2879,1900-01-01 07:59:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2971,1900-01-01 08:15:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is reading a book in her house. The reason for the state of lightings in her house is that she is reading a book.
2972,1900-01-01 08:15:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is reading a book in her house. The reason for the state of lightings in her house is that she is reading a book.
4608,1900-01-01 12:48:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4609,1900-01-01 12:48:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4610,1900-01-01 12:48:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4611,1900-01-01 12:48:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4612,1900-01-01 12:48:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4613,1900-01-01 12:48:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4614,1900-01-01 12:49:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4615,1900-01-01 12:49:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her apartment's main room on her bed.
4616,1900-01-01 12:49:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4617,1900-01-01 12:49:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4618,1900-01-01 12:49:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4619,1900-01-01 12:49:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4620,1900-01-01 12:50:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4621,1900-01-01 12:50:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4622,1900-01-01 12:50:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4638,1900-01-01 12:53:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4639,1900-01-01 12:53:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4640,1900-01-01 12:53:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4641,1900-01-01 12:53:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4642,1900-01-01 12:53:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4643,1900-01-01 12:53:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4644,1900-01-01 12:54:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4645,1900-01-01 12:54:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4646,1900-01-01 12:54:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4647,1900-01-01 12:54:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is taking a lunch break in her bedroom.
4775,1900-01-01 13:15:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4776,1900-01-01 13:16:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4777,1900-01-01 13:16:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4778,1900-01-01 13:16:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4779,1900-01-01 13:16:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4780,1900-01-01 13:16:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4781,1900-01-01 13:16:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4782,1900-01-01 13:17:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4783,1900-01-01 13:17:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4784,1900-01-01 13:17:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4785,1900-01-01 13:17:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4786,1900-01-01 13:17:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4787,1900-01-01 13:17:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4796,1900-01-01 13:19:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4797,1900-01-01 13:19:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4798,1900-01-01 13:19:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4799,1900-01-01 13:19:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4800,1900-01-01 13:20:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4801,1900-01-01 13:20:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4802,1900-01-01 13:20:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4803,1900-01-01 13:20:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4804,1900-01-01 13:20:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4805,1900-01-01 13:20:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4806,1900-01-01 13:21:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4807,1900-01-01 13:21:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4808,1900-01-01 13:21:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4809,1900-01-01 13:21:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4810,1900-01-01 13:21:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4811,1900-01-01 13:21:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4812,1900-01-01 13:22:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4813,1900-01-01 13:22:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4814,1900-01-01 13:22:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4815,1900-01-01 13:22:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4816,1900-01-01 13:22:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4817,1900-01-01 13:22:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4818,1900-01-01 13:23:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4819,1900-01-01 13:23:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4820,1900-01-01 13:23:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4821,1900-01-01 13:23:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4822,1900-01-01 13:23:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4823,1900-01-01 13:23:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4824,1900-01-01 13:24:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4825,1900-01-01 13:24:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4826,1900-01-01 13:24:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4827,1900-01-01 13:24:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4828,1900-01-01 13:24:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her room.
4950,1900-01-01 13:45:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4951,1900-01-01 13:45:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4952,1900-01-01 13:45:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4953,1900-01-01 13:45:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4954,1900-01-01 13:45:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4955,1900-01-01 13:45:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4956,1900-01-01 13:46:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4957,1900-01-01 13:46:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4958,1900-01-01 13:46:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4959,1900-01-01 13:46:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4960,1900-01-01 13:46:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4961,1900-01-01 13:46:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4962,1900-01-01 13:47:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4963,1900-01-01 13:47:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4964,1900-01-01 13:47:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4965,1900-01-01 13:47:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4966,1900-01-01 13:47:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4967,1900-01-01 13:47:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4968,1900-01-01 13:48:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4969,1900-01-01 13:48:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4970,1900-01-01 13:48:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4971,1900-01-01 13:48:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4972,1900-01-01 13:48:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4973,1900-01-01 13:48:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4974,1900-01-01 13:49:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4975,1900-01-01 13:49:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4976,1900-01-01 13:49:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4977,1900-01-01 13:49:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4978,1900-01-01 13:49:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4979,1900-01-01 13:49:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4980,1900-01-01 13:50:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4981,1900-01-01 13:50:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4982,1900-01-01 13:50:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4983,1900-01-01 13:50:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4984,1900-01-01 13:50:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4985,1900-01-01 13:50:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4986,1900-01-01 13:51:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4987,1900-01-01 13:51:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4988,1900-01-01 13:51:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4989,1900-01-01 13:51:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4990,1900-01-01 13:51:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4991,1900-01-01 13:51:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4992,1900-01-01 13:52:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4993,1900-01-01 13:52:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4994,1900-01-01 13:52:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4995,1900-01-01 13:52:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4996,1900-01-01 13:52:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
4997,1900-01-01 13:52:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5003,1900-01-01 13:53:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5004,1900-01-01 13:54:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5005,1900-01-01 13:54:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5006,1900-01-01 13:54:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5007,1900-01-01 13:54:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5008,1900-01-01 13:54:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5040,1900-01-01 14:00:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5041,1900-01-01 14:00:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5042,1900-01-01 14:00:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5043,1900-01-01 14:00:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5044,1900-01-01 14:00:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5045,1900-01-01 14:00:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5046,1900-01-01 14:01:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5047,1900-01-01 14:01:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5048,1900-01-01 14:01:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5049,1900-01-01 14:01:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5050,1900-01-01 14:01:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5051,1900-01-01 14:01:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5052,1900-01-01 14:02:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5053,1900-01-01 14:02:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5054,1900-01-01 14:02:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5055,1900-01-01 14:02:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5056,1900-01-01 14:02:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5057,1900-01-01 14:02:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5072,1900-01-01 14:05:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5073,1900-01-01 14:05:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5074,1900-01-01 14:05:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5075,1900-01-01 14:05:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5076,1900-01-01 14:06:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5077,1900-01-01 14:06:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5078,1900-01-01 14:06:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5079,1900-01-01 14:06:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5080,1900-01-01 14:06:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5081,1900-01-01 14:06:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
5082,1900-01-01 14:07:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is studying for her exams and needs more light to read. She turned on the lights in her bedroom and living room.
